artistName,minutesPlayed,msPlayed,tracks,month,year
Sufjan Stevens,255.89581666666666,15353749,"{'Should Have Known Better', 'Chicago', 'Fourth of July', 'Futile Devices', 'John My Beloved', 'Tonya Harding (In Eb major)', 'They Are Night Zombies!! They Are Neighbors!! They Have Come Back From the Dead!! Ahhhh!', 'Concerning the UFO sighting near Highland, Illinois', 'The Predatory Wasp of the Palisades Is Out to Get Us!', 'John Wayne Gacy, Jr.', 'Lost In The World', 'Wallowa Lake Monster', 'Death with Dignity - Live', 'The Only Thing', 'Blue Bucket of Gold', 'Back To Oz', 'Death with Dignity', 'Casimir Pulaski Day', 'Drawn to the Blood - Fingerpicking Remix', 'Vesuvius', 'Mystery of Love', 'No Shade in the Shadow of The Cross', 'Carrie & Lowell - Live', 'Romulus', 'Flint (For the Unemployed and Underpaid)', 'All the Trees of the Field Will Clap Their Hands', 'Should Have Known Better - Live', 'Fourth of July - Live', '(This Is) The Thing', ""We Won't Need Legs To Stand"", 'The Man of Metropolis Steals Our Hearts', 'For the Widows in Paradise, For the Fatherless in Ypsilanti', 'I Want To Be Well', 'To Be Alone With You', 'All for Myself', 'Impossible Soul'}",12,2025
Arcade Fire,206.17145,12370287,"{'Une Annee Sans Lumiere', 'Ready to Start', 'Half Light I', 'Crown of Love', 'The Suburbs', 'Reflektor', 'Headlights Look Like Diamonds', 'Wake Up', 'Neighborhood #3 (Power Out)', 'Sprawl II (Mountains Beyond Mountains)', 'In the Backseat', 'My Body Is a Cage', 'Suburban War', 'Neighborhood #1 (Tunnels)', 'Rebellion (Lies)', 'Culture War', 'Neighborhood #2 (Laika)', 'Deep Blue', 'No Cars Go'}",12,2025
Queens of the Stone Age,167.72595,10063557,"{'Into The Hollow', 'The Vampyre of Time and Memory', ""3's & 7's"", 'Running Joke - Non-LP Version', 'First It Giveth', ""Feet Don't Fail Me"", 'Go With The Flow', 'Villains of Circumstance', '...Like Clockwork', 'Fairweather Friends', 'Smooth Sailing', 'No One Knows', 'Leg Of Lamb', 'The Lost Art Of Keeping A Secret', 'I Never Came', 'Fortress', 'My God Is the Sun', 'Make It Wit Chu', 'Kalopsia', 'I Appear Missing'}",12,2025
Silversun Pickups,167.29261666666667,10037557,"{'Catch & Release', 'Melatonin', 'Rusted Wheel', 'Three Seed', 'Pins And Needles', 'Nightlight', 'Well Thought out Twinkles', 'Kissing Families', 'Tapedeck', 'Seasick', 'Cannibal', 'Panic Switch', 'Circadian Rhythm (Last Dance)', 'The Pit', 'Dream at Tempo 119', 'Busy Bees', 'Checkered Floor'}",12,2025
Justin Hurwitz,161.75498333333334,9705299,"{'Pat and Janet', 'The Armstrongs', 'Engagement Party', 'Epilogue', 'Mia & Sebastian’s Theme', 'The Landing', 'Baby Mark', 'End Credits', 'Gold Coast Sunset', 'Apollo 11 Launch', 'Theme for Harp, Strings & Theremin (From ""First Man"")'}",12,2025
Tame Impala,154.34201666666667,9260521,"{""Why Won't They Talk To Me?"", ""She Just Won't Believe Me"", 'The Moment', 'It Is Not Meant To Be', 'Dracula', 'List Of People (To Try And Forget About)', 'Mind Mischief', ""Yes I'm Changing"", 'Let It Happen', 'Be Above It', 'Nothing That Has Happened So Far Has Been Anything We Could Control', 'My Old Ways', 'Half Full Glass Of Wine', 'Apocalypse Dreams', ""Sun's Coming Up"", 'The Less I Know The Better', 'Slide Through My Fingers', 'Past Life', 'Elephant', 'Love/Paranoia', 'Keep On Lying', 'Endors Toi'}",12,2025
Radiohead,149.27781666666667,8956669,"{'Climbing Up the Walls', 'Weird Fishes / Arpeggi', 'No Surprises', 'Electioneering', 'My Iron Lung', 'Pyramid Song', 'Let Down - Remastered', 'Identikit', 'Subterranean Homesick Alien', 'All I Need', 'Reckoner', 'Idioteque', 'Where I End and You Begin', 'Exit Music (For A Film)', 'Just', 'Paranoid Android', 'Burn the Witch', 'Decks Dark', 'Let Down', 'Nude', 'Airbag', 'I Might Be Wrong', 'Optimistic', 'Karma Police', 'Videotape', 'There, There'}",12,2025
Bright Eyes,126.30525,7578315,"{'Sunrise, Sunset', ""Let's Not Shit Ourselves (to Love and to Be Loved)"", 'Something Vague', 'Lua', 'A Perfect Sonnet', 'You Will. You? Will. You? Will. You? Will.', 'At the Bottom of Everything', 'The Calendar Hung Itself...', 'When The Curious Girl Realizes She Is Under Glass', 'Trees Get Wheeled Away', 'The Center Of The World', 'The Movement Of A Hand', 'Waste of Paint', 'Hit the Switch', 'Land Locked Blues', 'Bowl of Oranges', 'The Calendar Hung Itself…', 'The City Has Sex', ""We Are Nowhere and It's Now"", 'Ship in a Bottle', 'Haligh, Haligh, A Lie, Haligh', 'False Advertising'}",12,2025
The Smiths,112.44963333333334,6746978,"{'Still Ill - 2011 Remaster', ""Heaven Knows I'm Miserable Now - 2011 Remaster"", ""I Know It's Over - 2011 Remaster"", 'Last Night I Dreamt That Somebody Loved Me - 2011 Remaster', 'Well I Wonder - 2011 Remaster', 'There Is a Light That Never Goes Out - 2011 Remaster', ""That Joke Isn't Funny Anymore"", 'Bigmouth Strikes Again - 2011 Remaster', 'Please, Please, Please, Let Me Get What I Want - 2011 Remaster'}",12,2025
Highly Suspect,106.63093333333333,6397856,"{'F**k Me Up', 'Little One', 'Claudeland', 'Lydia', 'Mister Asylum', 'My Name Is Human', 'Bath Salts', 'Bloodfeather', 'Lost', 'Send Me An Angel'}",12,2025
The Antlers,104.71181666666666,6282709,"{'Shiva', 'Bear', 'Epilogue', 'Sylvia', 'Wake', 'Putting The Dog To Sleep', 'Thirteen', 'Kettering', 'Two'}",12,2025
Band of Horses,95.45393333333334,5727236,"{""No One's Gonna Love You"", 'The Funeral', 'St. Augustine', 'Part One', 'I Go to the Barn Because I Like The'}",12,2025
Iron Maiden,93.72658333333332,5623595,"{'Rime of the Ancient Mariner (2015 Remaster)', 'Flash of the Blade (2015 Remaster)', 'Back in the Village (2015 Remaster)', 'Hallowed Be Thy Name (2015 Remaster)', 'Flight of Icarus (2015 Remaster)', '2 Minutes to Midnight (2015 Remaster)', 'Empire of the Clouds', 'The Trooper (2015 Remaster)', ""Losfer Words (Big 'Orra) (2015 Remaster)"", 'Powerslave (2015 Remaster)', 'Rainmaker (2015 Remaster)', 'Aces High (2015 Remaster)', 'The Duellists (2015 Remaster)', 'Fear of the Dark (2015 Remaster)'}",12,2025
Beach House,87.55891666666666,5253535,"{'PPP', 'New Year', 'On the Sea', 'Myth', 'Other People', 'Walk in the Park', 'Drunk In LA', 'Home Again'}",12,2025
Brand New,87.47741666666667,5248645,"{""You Won't Know"", 'The Quiet Things That No One Ever Knows', 'No Control', 'Handcuffs', 'Degausser', 'Limousine', 'The Boy Who Blocked His Own Shot', 'Luca', 'Sowing Season (Yeah)', 'Jesus Christ'}",12,2025
Deftones,83.3588,5001528,"{'Cherry Waves', 'Passenger', 'Diamond Eyes', 'i think about you all the time', 'Change (In the House of Flies)', 'Sextape'}",12,2025
Swans,79.02258333333333,4741355,"{'Live Through Me', 'Lunacy', 'Helpless Child', ""It's Coming It's Real"", 'A Piece of the Sky', ""Bring The Sun/Toussaint L'Ouverture"", 'A Little God In My Hands', 'The Sound', 'Screen Shot', 'Yum-Yab Killers'}",12,2025
Arctic Monkeys,77.96761666666667,4678057,"{'505', 'Love is a Laserquest', 'Riot Van', 'Black Treacle', 'Crying Lightning', 'Pretty Visitors', 'When The Sun Goes Down', 'Red Light Indicates Doors Are Secured', 'Perhaps Vampires Is A Bit Strong But…', 'Balaclava', 'Catapult', 'From The Ritz To The Rubble', 'I Bet You Look Good On The Dancefloor', 'Mardy Bum', 'A Certain Romance'}",12,2025
The Strokes,77.45318333333333,4647191,"{'Selfless', 'Tap Out', 'What Ever Happened?', 'The Modern Age', 'Heart In a Cage', 'Razorblade', 'Trying Your Luck', 'Machu Picchu', 'Barely Legal', 'Under Cover of Darkness', 'Someday', 'Modern Girls & Old Fashion Men - Reptilia B-Side', 'Vision of Division', 'Reptilia', 'Ode To The Mets', 'Call Me Back'}",12,2025
Ride,73.93058333333333,4435835,"{'Chrome Waves - 2001 Remaster', 'Vapour Trail - 2001 Remaster', 'Seagull - 2001 Remaster', 'Leave Them All Behind - 2001 Remaster', 'Time Machine - 2001 Remaster', 'Time of Her Time - 2001 Remaster'}",12,2025
MGMT,73.42896666666667,4405738,"{'The Youth', 'Congratulations', 'Weekend Wars', 'TSLAMP', 'Electric Feel', 'Of Moons, Birds & Monsters', 'Siberian Breaks', 'When You Die', ""When You're Small"", 'Little Dark Age'}",12,2025
