artistName,minutesPlayed,msPlayed,tracks,month,year
System Of A Down,1782.4390166666667,106946341,"{'Question!', 'War?', 'Roulette', 'Aerials', 'Genocidal Humanoidz', 'Sugar', 'Soldier Side', 'Cigaro', 'B.Y.O.B.', 'Shame', 'Violent Pornography', 'Deer Dance', 'I-E-A-I-A-I-O', 'Hypnotize', 'Holy Mountains', 'Fuck the System', 'Prison Song', ""Chic 'N' Stu"", 'Vicinity Of Obscenity', 'Suggestions', 'ATWA', 'Spiders', 'Toxicity', 'Know', 'Lonely Day', 'Protect The Land', 'Lost In Hollywood', 'Innervision', ""Kill Rock 'n Roll"", 'Suite-Pee', 'Chop Suey!', 'Mr. Jack', 'Radio/Video', 'Soil'}",10,2025
Deftones,398.27115,23896269,"{'Cherry Waves', 'Diamond Eyes', 'Be Quiet and Drive (Far Away)', 'My Own Summer (Shove It)', 'infinite source', 'i think about you all the time', 'Change (In the House of Flies)', 'Sextape', 'Entombed'}",10,2025
Queens of the Stone Age,274.8473833333333,16490843,"{'Go With The Flow', 'Into The Hollow', 'The Vampyre of Time and Memory', 'I Never Came', ""3's & 7's"", '...Like Clockwork', 'I Sat by the Ocean', 'Running Joke - Non-LP Version', 'Smooth Sailing', 'No One Knows', 'God Is In The Radio', 'Kalopsia', 'I Appear Missing'}",10,2025
The Smiths,255.9703,15358218,"{'How Soon Is Now? - 2008 Remaster', 'Still Ill - 2011 Remaster', ""Heaven Knows I'm Miserable Now - 2011 Remaster"", ""I Know It's Over - 2011 Remaster"", 'Last Night I Dreamt That Somebody Loved Me - 2011 Remaster', 'Well I Wonder - 2011 Remaster', 'What Difference Does It Make? - 2011 Remaster', 'Unloveable - 2017 Master', 'There Is a Light That Never Goes Out - 2011 Remaster', 'Bigmouth Strikes Again - 2011 Remaster', 'This Charming Man - 2011 Remaster', 'How Soon Is Now? - 2011 Remaster'}",10,2025
Radiohead,197.52181666666667,11851309,"{'Climbing Up the Walls', 'No Surprises', 'Electioneering', 'My Iron Lung', 'Identikit', 'All I Need', 'Reckoner', 'Exit Music (For A Film)', 'Street Spirit (Fade Out)', 'Paranoid Android', 'Burn the Witch', 'Let Down', 'Creep', 'Airbag', 'Optimistic', 'Karma Police', 'Fitter Happier', 'Fake Plastic Trees', '2 + 2 = 5', 'Jigsaw Falling Into Place', 'A Wolf At the Door'}",10,2025
HIM,170.06480000000002,10203888,"{'Join Me In Death', 'Venus Doom'}",10,2025
Tame Impala,158.20928333333333,9492557,"{""Why Won't They Talk To Me?"", ""Why Won't You Make Up Your Mind?"", 'Past Life', 'Elephant', ""'Cause I'm A Man"", 'Half Full Glass Of Wine', 'It Is Not Meant To Be', ""Sun's Coming Up"", 'Mind Mischief', ""Yes I'm Changing"", 'The Less I Know The Better'}",10,2025
The Strokes,138.13278333333332,8287967,"{'Automatic Stop', 'Trying Your Luck', 'Is This It', 'The Adults Are Talking', 'Ode To The Mets', 'Selfless', 'Tap Out', 'Heart In a Cage', 'Last Nite', 'At The Door', 'Brooklyn Bridge To Chorus', 'The Modern Age', 'What Ever Happened?', 'Hard To Explain', 'Oblivius', 'One Way Trigger', 'Barely Legal', 'Under Cover of Darkness', 'Vision of Division'}",10,2025
Arcade Fire,121.509,7290540,"{'Wake Up', 'Ready to Start', 'Neighborhood #3 (Power Out)', 'Half Light I', 'Crown of Love', 'The Suburbs (continued)', 'Black Mirror', 'Sprawl II (Mountains Beyond Mountains)', 'In the Backseat', 'Deep Blue', 'Modern Man', 'Headlights Look Like Diamonds', 'Suburban War'}",10,2025
Modest Mouse,107.52003333333333,6451202,"{'King Rat', 'The World At Large', 'Dramamine', 'Lampshades on Fire', 'Gravity Rides Everything', 'Trailer Trash', 'Bukowski'}",10,2025
Silversun Pickups,99.81790000000001,5989074,"{'Melatonin', 'Rusted Wheel', 'Lazy Eye', 'Three Seed', 'Well Thought out Twinkles', 'Seasick', 'Common Reactor', 'Dream at Tempo 119', 'Busy Bees'}",10,2025
MGMT,90.08848333333334,5405309,"{'The Youth', 'Time to Pretend', 'TSLAMP', 'When You Die', 'Of Moons, Birds & Monsters', 'Pieces of What', 'Siberian Breaks', ""When You're Small"", 'Little Dark Age'}",10,2025
Built To Spill,82.53438333333334,4952063,"{'Carry the Zero', 'Things Fall Apart'}",10,2025
George Harrison,78.0006,4680036,{'I Live for You - 2014 Remaster'},10,2025
Daft Punk,70.14595,4208757,"{'Aerodynamic', 'Instant Crush (feat. Julian Casablancas)', 'Touch (feat. Paul Williams)', 'Voyager'}",10,2025
Nirvana,64.77588333333334,3886553,"{'All Apologies', ""You Know You're Right"", 'Come As You Are', 'Dumb', 'Heart-Shaped Box', 'About A Girl', 'Lake Of Fire - Live', 'Drain You', 'Lithium'}",10,2025
Weezer,63.219316666666664,3793159,"{'You Gave Your Love To Me Softly', 'Long Time Sunshine', 'Only In Dreams', 'Buddy Holly', ""Say It Ain't So - Original Mix"", 'Island In The Sun', 'The World Has Turned And Left Me Here', 'Butterfly', 'Pink Triangle', 'I Just Threw Out The Love Of My Dreams'}",10,2025
The White Stripes,54.63928333333333,3278357,"{'Icky Thump', 'Fell In Love With a Girl', 'Dead Leaves and the Dirty Ground', 'The Denial Twist', 'Blue Orchid', 'Conquest', 'The Hardest Button to Button'}",10,2025
Beach House,52.098933333333335,3125936,"{'PPP', 'Rough Song', 'Zebra', 'On the Sea', 'Walk in the Park', 'Days of Candy', 'Norway', 'Home Again'}",10,2025
Slowdive,48.167366666666666,2890042,"{'When the Sun Hits', 'Alison', 'Star Roving', 'Dagger', 'Catch The Breeze', 'Souvlaki Space Station'}",10,2025
Car Seat Headrest,47.57675,2854605,"{'Vincent', 'Beach Life-In-Death', 'Something Soon', 'Fill In The Blank', 'psst, teenagers, take off your clo', 'Romantic Theory', ""(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem)""}",10,2025
The Beatles,45.913,2754780,"{'For No One - Remastered 2009', 'Across The Universe - Remastered 2009', 'While My Guitar Gently Weeps - Remastered 2009', 'Get Back - Remastered 2009', 'Lucy In The Sky With Diamonds - Remastered 2009', 'Strawberry Fields Forever - Remastered 2009'}",10,2025
Red Hot Chili Peppers,41.34421666666667,2480653,"{'Torture Me', ""Road Trippin'"", 'Dark Necessities', 'Snow (Hey Oh)', 'Especially in Michigan', 'Hard to Concentrate', 'By the Way', 'If', 'Under the Bridge', 'Dani California', 'Death of a Martian'}",10,2025
Pleasure Nature,41.12521666666667,2467513,{'Little Heathen'},10,2025
Cocteau Twins,39.0326,2341956,"{'Pitch the Baby', 'Athol-brose', 'Hitherto', 'Cherry-coloured Funk', 'Persephone', 'Eyes Are Mosaics', 'Musette And Drums', 'I Wear Your Ring'}",10,2025
Black Sabbath,38.67646666666667,2320588,"{'Paranoid - 2012 - Remaster', ""War Pigs / Luke's Wall - 2012 - Remaster"", 'Heaven and Hell - 2008 Remaster'}",10,2025
Sufjan Stevens,37.33258333333333,2239955,"{'John Wayne Gacy, Jr.', 'The Predatory Wasp of the Palisades Is Out to Get Us!', 'Mystery of Love', 'Fourth of July', 'Futile Devices', 'Back To Oz', 'Tonya Harding (In Eb major)', 'The Man of Metropolis Steals Our Hearts', 'Death with Dignity', 'They Are Night Zombies!! They Are Neighbors!! They Have Come Back From the Dead!! Ahhhh!', 'Vesuvius'}",10,2025
Blonde Redhead,36.62113333333333,2197268,"{'Elephant Woman', 'Heroine', 'Equus', 'This Is Not', '23', 'Dr Strangeluv', 'Messenger', 'Dripping'}",10,2025
Bright Eyes,35.69563333333333,2141738,"{'Sunrise, Sunset', 'Bowl of Oranges', 'The Calendar Hung Itself…', ""We Are Nowhere and It's Now"", 'Hit the Switch', ""Lover I Don't Have to Love"", 'Haligh, Haligh, A Lie, Haligh', 'Something Vague', 'The Center Of The World'}",10,2025
Death From Above 1979,32.58261666666667,1954957,"{'Trainwreck 1979 - Moulder Mix with in/out fades', 'One + One', 'Freeze Me', 'Right On, Frankenstein!', 'Black History Month', 'Blood on Our Hands', 'Always On', 'Caught Up'}",10,2025
Andrew Bird,31.484416666666668,1889065,"{'Tenuousness', 'Armchairs', 'Skin Is, My', 'Fake Palindromes'}",10,2025
Cage The Elephant,30.907899999999998,1854474,"{'Cigarette Daydreams', 'Take It or Leave It', 'Cry Baby', 'Cold Cold Cold', 'Trouble', ""Ain't No Rest for the Wicked""}",10,2025
Brand New,30.031366666666667,1801882,"{""You Won't Know"", 'Handcuffs', 'Limousine', 'At The Bottom', 'Luca', 'Archers'}",10,2025
The Growlers,29.63596666666667,1778158,"{'Night Ride', 'City Club'}",10,2025
Interpol,29.292949999999998,1757577,"{'Pioneer To The Falls', 'The Heinrich Maneuver', 'Rest My Chemistry', 'PDA', 'All the Rage Back Home', 'Slow Hands', 'Obstacle 1', 'Stella was a diver and she was always down'}",10,2025
Ozzy Osbourne,27.38545,1643127,{'No More Tears'},10,2025
Neutral Milk Hotel,26.31305,1578783,"{'Communist Daughter', 'Oh Sister - 1995', 'King of Carrot Flowers Pt. 1', 'Someone Is Waiting', 'The Fool', 'Naomi', 'Ferris Wheel on Fire - 1993', 'Gardenhead / Leave Me Alone', 'Ghost', 'King of Carrot Flowers Pts. 2 & 3'}",10,2025
Iron Maiden,26.013233333333332,1560794,"{'Rainmaker (2015 Remaster)', 'Hallowed Be Thy Name (2015 Remaster)', 'The Trooper (2015 Remaster)'}",10,2025
Green Day,25.662716666666665,1539763,"{'Basket Case', 'When I Come Around', 'American Idiot', 'Brain Stew', 'Jesus of Suburbia'}",10,2025
My Chemical Romance,22.931983333333335,1375919,"{'Teenagers', 'Helena', 'Kiss the Ring', 'The Ghost of You'}",10,2025
Arctic Monkeys,22.88775,1373265,"{'Fluorescent Adolescent', '505', 'Riot Van', 'Black Treacle', 'When The Sun Goes Down', 'Catapult', 'Reckless Serenade', 'Mardy Bum', 'A Certain Romance', 'D Is for Dangerous'}",10,2025
