trackName,artistName,minutesPlayed,msPlayed,month,year
Meredith & Iris,Carissa's Wierd,80.96755,4858053,7,2026
I Think I Lost My Headache,Queens of the Stone Age,52.139649999999996,3128379,7,2026
The Color That Your Eyes Changed With the Color of Your Hair,Carissa's Wierd,43.047133333333335,2582828,7,2026
I Know The End,Phoebe Bridgers,40.27068333333333,2416241,7,2026
BlindBlindBlind,Silver Mt. Zion,39.88665,2393199,7,2026
The Unforgiven (Remastered),Metallica,38.716,2322960,7,2026
Thru The Eyes Of Ruby - Remastered 2012,The Smashing Pumpkins,36.52795,2191677,7,2026
American Motor Over Smoldered Field,Silver Mt. Zion,36.25065,2175039,7,2026
Human Sadness,The Voidz,32.84505,1970703,7,2026
The Unforgiven II,Metallica,31.86585,1911951,7,2026
Atrophy,The Antlers,30.684466666666665,1841068,7,2026
Wake Me up When September Ends,Green Day,28.5653,1713918,7,2026
Mountains Made Of Steam,Silver Mt. Zion,28.42335,1705401,7,2026
Wake,The Antlers,28.00975,1680585,7,2026
No One Is Ever Going to Want Me,Giles Corey,24.313900000000004,1458834,7,2026
Five Against Six,Mud Flow,23.73185,1423911,7,2026
Ode To The Mets,The Strokes,23.452566666666666,1407154,7,2026
Lullaby,Low,23.0047,1380282,7,2026
Seasick,Silversun Pickups,22.941583333333334,1376495,7,2026
Pictures of Me,Elliott Smith,22.6973,1361838,7,2026
Long Slow Goodbye,Queens of the Stone Age,22.28376666666667,1337026,7,2026
On the Sea,Beach House,22.164466666666666,1329868,7,2026
Lazy Eyelids,Carissa's Wierd,22.134999999999998,1328100,7,2026
Myth,Beach House,21.554416666666665,1293265,7,2026
X.Y.U. - Remastered 2012,The Smashing Pumpkins,21.35465,1281279,7,2026
Stillness (Way Beyond),Silversun Pickups,21.014333333333333,1260860,7,2026
Luca,Brand New,20.5778,1234668,7,2026
Venus Doom,HIM,20.557333333333332,1233440,7,2026
Passing Afternoon,Iron & Wine,20.10108333333333,1206065,7,2026
(Nice Dream),Radiohead,19.435583333333334,1166135,7,2026
Blue Bucket of Gold,Sufjan Stevens,19.031133333333333,1141868,7,2026
In the Backseat,Arcade Fire,19.010650000000002,1140639,7,2026
Blackest Bile,Giles Corey,18.8529,1131174,7,2026
I Know You,Bright Eyes,18.786666666666665,1127200,7,2026
The Giant Of Illinois,Andrew Bird,18.560016666666666,1113601,7,2026
Villains of Circumstance,Queens of the Stone Age,18.4669,1108014,7,2026
PPP,Beach House,18.42735,1105641,7,2026
Armchairs,Andrew Bird,18.1124,1086744,7,2026
Lua,Bright Eyes,18.106666666666666,1086400,7,2026
Gimme Shelter,The Rolling Stones,18.05153333333333,1083092,7,2026
Two,The Antlers,17.79735,1067841,7,2026
Headlights Look Like Diamonds,Arcade Fire,17.720866666666666,1063252,7,2026
When You Die,MGMT,17.592,1055520,7,2026
Bring It Back Gentle,Desert Sessions,17.484650000000002,1049079,7,2026
Black,Pearl Jam,17.132649999999998,1027959,7,2026
Ready to Start,Arcade Fire,17.060466666666667,1023628,7,2026
Somewhere Tonight,Beach House,16.929066666666667,1015744,7,2026
Street Spirit (Fade Out),Radiohead,16.923533333333335,1015412,7,2026
Sweet Adeline,Elliott Smith,16.7122,1002732,7,2026
Zelda,The Antlers,16.565350000000002,993921,7,2026
Play Crack The Sky,Brand New,16.394000000000002,983640,7,2026
Fortress,Queens of the Stone Age,16.36055,981633,7,2026
Surrender,The Antlers,16.322266666666664,979336,7,2026
Melatonin,Silversun Pickups,16.3218,979308,7,2026
Degausser,Brand New,16.245350000000002,974721,7,2026
...Like Clockwork,Queens of the Stone Age,16.216,972960,7,2026
The Movement Of A Hand,Bright Eyes,16.1912,971472,7,2026
Perfect Day,Lou Reed,16.06305,963783,7,2026
My Favorite Heart to Break,The Parlor Mob,16.0418,962508,7,2026
Optimistic,Radiohead,15.79865,947919,7,2026
The Ghost of a Dead Hummingbird Flying Around the Room,Carissa's Wierd,15.6729,940374,7,2026
Bear,The Antlers,15.595533333333334,935732,7,2026
The Universe Is Going To Catch You,The Antlers,15.554233333333334,933254,7,2026
Alison,Slowdive,15.399133333333333,923948,7,2026
Last Night I Dreamt That Somebody Loved Me - 2011 Remaster,The Smiths,15.280000000000001,916800,7,2026
Ferris Wheel on Fire - 1993,Neutral Milk Hotel,15.133333333333333,908000,7,2026
Chemicals,Mud Flow,15.103283333333334,906197,7,2026
The Bronze,Queens of the Stone Age,15.015133333333333,900908,7,2026
A Nervous Tic Motion of the Head to the Left,Andrew Bird,14.98265,898959,7,2026
Change (In the House of Flies),Deftones,14.971066666666667,898264,7,2026
80's Comedown Machine,The Strokes,14.93065,895839,7,2026
That Joke Isn't Funny Anymore,The Smiths,14.879349999999999,892761,7,2026
Pillars,Sunny Day Real Estate,14.853349999999999,891201,7,2026
I'm Hibernating,The Antlers,14.851533333333334,891092,7,2026
Like a Stone,Audioslave,14.698,881880,7,2026
Kettering,The Antlers,14.611166666666666,876670,7,2026
Toxicity,System Of A Down,14.595533333333334,875732,7,2026
Never as Tired as When I'm Waking Up,LCD Soundsystem,14.49465,869679,7,2026
When I Was an Orphan,The Parlor Mob,14.35265,861159,7,2026
Wounded Wolf,Giles Corey,14.25,855000,7,2026
Murder And Crime,Sufjan Stevens,14.029333333333334,841760,7,2026
Fourth of July,Sufjan Stevens,13.965800000000002,837948,7,2026
The Memory Remains,Metallica,13.962,837720,7,2026
Chemtrails,Beck,13.90135,834081,7,2026
As Tears Go By - Mono Version,The Rolling Stones,13.767750000000001,826065,7,2026
TSLAMP,MGMT,13.4785,808710,7,2026
Man of War,Radiohead,13.45465,807279,7,2026
Racehorse: Get Married!,Jordaan Mason,13.277583333333332,796655,7,2026
The Only Thing Worth Fighting For - From The HBO Series True Detective,Lera Lynn,13.107533333333333,786452,7,2026
"Holy Fucking Shit: 40,000",Have A Nice Life,12.883333333333333,773000,7,2026
Bury Me Deep Inside Your Heart,HIM,12.812899999999999,768774,7,2026
Farewell to All These Rotten Teeth,Carissa's Wierd,12.675533333333334,760532,7,2026
John My Beloved,Sufjan Stevens,12.553216666666668,753193,7,2026
Guitar And Video Games,Sunny Day Real Estate,12.531533333333334,751892,7,2026
Olympus,Sufjan Stevens,12.4868,749208,7,2026
Radio/Video,System Of A Down,12.46135,747681,7,2026
i think about you all the time,Deftones,12.447849999999999,746871,7,2026
Wolf Like Me ft. Shovels & Rope,Lera Lynn,12.25065,735039,7,2026
Little One,Highly Suspect,12.07665,724599,7,2026
Well I Wonder - 2011 Remaster,The Smiths,11.971350000000001,718281,7,2026
"Sweet Dreams, TN",The Last Shadow Puppets,11.81265,708759,7,2026
Running Joke - Non-LP Version,Queens of the Stone Age,11.807133333333333,708428,7,2026
Mountains,Message To Bears,11.762,705720,7,2026
Aerials,System Of A Down,11.75265,705159,7,2026
A Held Breath,German Error Message,11.74775,704865,7,2026
Just,Radiohead,11.74,704400,7,2026
Ladies and gentlemen we are floating in space,Spiritualized,11.70265,702159,7,2026
Moth To A Flame (with The Weeknd),Swedish House Mafia,11.7,702000,7,2026
The Angry River (feat. Father John Misty and S.I. Istwa) [Theme From the HBO Series True Detective],The Hat,11.676866666666667,700612,7,2026
Lost In The World,Sufjan Stevens,11.515733333333333,690944,7,2026
Shiva,The Antlers,11.28735,677241,7,2026
It's All Tears - Drown In This Love,HIM,11.196950000000001,671817,7,2026
Into The Hollow,Queens of the Stone Age,11.11665,666999,7,2026
A Perfect Sonnet,Bright Eyes,11.08935,665361,7,2026
You Are a Memory,Message To Bears,11.08735,665241,7,2026
Phantom Fireworks,Carissa's Wierd,11.068,664080,7,2026
Sylvia,The Antlers,10.903566666666666,654214,7,2026
Black Hole Sun,Soundgarden,10.619566666666667,637174,7,2026
My Least Favorite Life - From The HBO Series True Detective,Lera Lynn,10.587,635220,7,2026
Another Love Song,Queens of the Stone Age,10.534616666666667,632077,7,2026
Ginkgo,Panchiko,10.493,629580,7,2026
Do You Wanna Get High?,Weezer,10.388,623280,7,2026
Thirteen,The Antlers,10.341633333333332,620498,7,2026
Parentheses,The Antlers,10.32425,619455,7,2026
Days Were Golden,Sunny Day Real Estate,10.284433333333334,617066,7,2026
Learning,Perfume Genius,10.272283333333332,616337,7,2026
"A Line Allows Progress, A Circle Does Not",Bright Eyes,10.254000000000001,615240,7,2026
"Call It Fate, Call It Karma",The Strokes,10.23865,614319,7,2026
Sober,TOOL,10.228433333333333,613706,7,2026
Pheurton Skeurto - Remastered,Sunny Day Real Estate,10.179533333333334,610772,7,2026
The Sense of Me,Mud Flow,10.168700000000001,610122,7,2026
Limousine,Brand New,10.031633333333334,601898,7,2026
Cracking Codes,Andrew Bird,9.940683333333332,596441,7,2026
Bobby Baby,Lera Lynn,9.7447,584682,7,2026
The Pillar Of Souls,Sufjan Stevens,9.656716666666668,579403,7,2026
Love is a Laserquest,Arctic Monkeys,9.571349999999999,574281,7,2026
They'll Only Miss You When You Leave,Carissa's Wierd,9.538666666666666,572320,7,2026
I Go to the Barn Because I Like The,Band of Horses,9.33265,559959,7,2026
Sunflower,Low,9.302233333333334,558134,7,2026
The Fix Is In,Heatmiser,9.266666666666667,556000,7,2026
Snuff,Slipknot,9.2049,552294,7,2026
Speed Trials,Elliott Smith,9.06465,543879,7,2026
Nothing Left to Say,Tram,9.043566666666667,542614,7,2026
Drunk w/ the Only Saints I Know,Carissa's Wierd,9.026150000000001,541569,7,2026
God Damn The Sun,Swans,8.685333333333332,521120,7,2026
(March 19th 1983) It Was Probably Green,Carissa's Wierd,8.67135,520281,7,2026
We're The Ordinary,Starflyer 59,8.544433333333334,512666,7,2026
Endless Ladder,The Antlers,8.49955,509973,7,2026
The Wrong Parts (Vivian Sisters Singing),Jordaan Mason,8.455616666666666,507337,7,2026
Every Shining Time You Arrive,Sunny Day Real Estate,8.448,506880,7,2026
Stabilisers For Big Boys,Panchiko,8.413366666666667,504802,7,2026
"All Apologies and Smiles, Yours Truely, Ugly Valentine",Carissa's Wierd,8.40335,504201,7,2026
Lonely Day,System Of A Down,8.39535,503721,7,2026
April 8th,Neutral Milk Hotel,8.38665,503199,7,2026
The Hurricane,Teen Suicide,8.3667,502002,7,2026
Undone,Message To Bears,8.212,492720,7,2026
Where You'll Find Me Now,Neutral Milk Hotel,8.135566666666668,488134,7,2026
Pilot House,Tacoma Radar,8.090666666666667,485440,7,2026
One Way Trigger,The Strokes,8.076433333333334,484586,7,2026
