artistName,minutesPlayed,msPlayed,tracks,month,year
The Antlers,542.9758666666667,32578552,"{'Shiva', 'Bear', 'Epilogue', 'No Widows', 'Prologue', 'Sylvia', 'Wake', 'Parade', 'Corsicana', 'Doppelgänger', 'French Exit', 'The Universe Is Going To Catch You', 'Putting The Dog To Sleep', 'Kettering', 'Two'}",1,2026
Queens of the Stone Age,406.88896666666665,24413338,"{'Into The Hollow', 'The Vampyre of Time and Memory', 'River In The Road', 'Running Joke - Non-LP Version', 'Go With The Flow', 'Villains of Circumstance', '...Like Clockwork', 'Auto Pilot', 'Mosquito Song', 'Leg Of Lamb', 'Another Love Song', 'If I Had a Tail', 'Turnin On The Screw', 'I Never Came', 'Carnavoyeur', 'Fortress', 'My God Is the Sun', 'Kalopsia', 'I Appear Missing', 'Suture Up Your Future'}",1,2026
Sufjan Stevens,368.30993333333333,22098596,"{'Should Have Known Better - Live', 'Mystery of Love', 'Lost In The World', 'Fourth of July', 'No Shade in the Shadow of The Cross', 'Futile Devices', 'Blue Bucket of Gold', 'Casimir Pulaski Day', 'The Man of Metropolis Steals Our Hearts', 'Age of Adz', 'I Want To Be Well', 'All of Me Wants All of You', 'Blue Bucket of Gold - Live', 'Vesuvius', 'Eugene - Live', 'Impossible Soul'}",1,2026
Highly Suspect,338.66748333333334,20320049,"{'F**k Me Up', 'Little One', 'Claudeland', 'Vanity', 'Lydia', 'Mister Asylum', 'My Name Is Human', 'Bath Salts', 'Send Me An Angel'}",1,2026
Elliott Smith,310.4126,18624756,"{'Say Yes', 'Pictures of Me', 'Angeles', 'Son Of Sam', 'Speed Trials', 'Roman Candle', 'A Fond Farewell', 'Everything Means Nothing To Me', 'Needle in the Hay', 'Somebody That I Used To Know', 'Between the Bars', 'Ballad of Big Nothing', '2:45 AM', 'Alameda'}",1,2026
Beach House,298.14465,17888679,"{'PPP', 'Levitation', 'Take Care', 'Gila', 'Troublemaker', 'On the Sea', 'Lazuli', 'Somewhere Tonight', 'Myth', 'Wildflower', 'Pink Funeral', 'Silver Soul', 'The Hours', '10:37', 'Drunk In LA', 'Wild', 'Beyond Love'}",1,2026
The Smiths,249.3115,14958690,"{""I Know It's Over - 2011 Remaster"", 'Last Night I Dreamt That Somebody Loved Me - 2011 Remaster', 'Asleep - 2011 Remaster', 'Barbarism Begins at Home - 2011 Remaster', 'Never Had No One Ever - 2011 Remaster', ""That Joke Isn't Funny Anymore"", 'Unhappy Birthday - 2011 Remaster'}",1,2026
Silversun Pickups,239.01381666666666,14340829,"{'Melatonin', 'Busy Bees', 'Kissing Families', 'Seasick'}",1,2026
Carissa's Wierd,222.27211666666668,13336327,"{'Silently Leaving the Room', 'Sofisticated Fuck Princess Please Leave Me Alone', 'Low Budget Slow Motion Soundtrack Song for the Leaving Scene', 'You Should Be Hated Here', 'The Color That Your Eyes Changed With the Color of Your Hair', 'September Come Take This Heart Away', 'So You Wanna Be A Superhero', ""They'll Only Miss You When You Leave"", 'A New Holiday (November 16th)', 'To Be There Now', 'Farewell to All These Rotten Teeth', 'Ignorant Piece of Shit', 'The Piano Song'}",1,2026
Radiohead,214.22833333333332,12853700,"{'Climbing Up the Walls', 'The Tourist', 'Lucky', 'Glass Eyes', 'Faust Arp', 'Bullet Proof ... I Wish I Was', 'Identikit', 'All I Need', 'Reckoner', 'Where I End and You Begin', 'Exit Music (For A Film)', 'Street Spirit (Fade Out)', '15 Step', 'Paranoid Android', 'Let Down', 'Sail To The Moon', 'Nude', '(Nice Dream)', 'Airbag', 'Spectre', 'I Might Be Wrong', 'Optimistic', 'Knives Out', 'How to Disappear Completely', 'Daydreaming', '2 + 2 = 5', 'A Wolf At the Door', '4 Minute Warning', 'Life In a Glasshouse', 'Codex', 'There, There', 'Bodysnatchers', 'You And Whose Army?', 'Lift'}",1,2026
Mud Flow,212.52008333333333,12751205,"{'The Sense of Me', 'Shooting Star', 'Ryunosuke', 'Debbie & Charlie', 'Song 1', 'Chemicals', 'The Sense of Me / Chemicals'}",1,2026
Brand New,204.28446666666667,12257068,"{'137', 'Waste', 'Missing You (Demo 2006)', ""Can't Get It Out"", ""You Won't Know"", 'Daisy', 'Handcuffs', 'Batter Up', 'Degausser', 'Limousine', 'The Boy Who Blocked His Own Shot', 'Not The Sun', 'Luca', 'At The Bottom', 'Bed', 'Millstone', 'Archers', 'Sowing Season (Yeah)'}",1,2026
Giles Corey,195.36135000000002,11721681,"{'Wounded Wolf', 'Spectral Bride', 'No One Is Ever Going to Want Me', 'Blackest Bile', 'Grave Filled with Books', 'Guilt is My Boyfriend'}",1,2026
Message To Bears,153.07883333333334,9184730,"{'I Know You Love to Fall', 'Undone', 'Mountains', 'You Are a Memory'}",1,2026
Arcade Fire,144.94421666666668,8696653,"{'Neighborhood #1 (Tunnels)', 'Ready to Start', 'The Suburbs', 'Crown of Love', 'In the Backseat', 'Speaking in Tongues (feat. David Byrne)'}",1,2026
Deftones,141.19263333333333,8471558,"{'Cherry Waves', 'Digital Bath', 'Rosemary', 'Hole in the Earth', 'Be Quiet and Drive (Far Away)', 'i think about you all the time', 'Please Please Please Let Me Get What I Want - 2005 Remaster', 'Change (In the House of Flies)', 'Sextape'}",1,2026
