artistName,minutesPlayed,msPlayed,tracks,month,year
The Antlers,528.80285,31728171,"{'Every Night My Teeth Are Falling Out', 'Zelda', 'Epilogue', 'Sylvia', ""I'm Hibernating"", ""I Don't Want Love"", 'Tiptoe', 'On the Roof', 'Director', 'Hounds', 'Corsicana', ""Flash Floods Don't Retreat"", 'French Exit', 'The Universe Is Going To Catch You', 'VCR (The xx cover)', 'Shiva', 'Crest', 'In the Attic', 'Look!', 'Parentheses', 'Surrender', 'Palace', 'Putting The Dog To Sleep', 'Thirteen', 'Drift Dive', 'Stairs to the Attic', 'No Widows', 'Uprooted', 'Two', 'Revisited', 'Atrophy', 'Bear', 'Refuge', 'Nashua', 'Prologue', 'Wake', 'Parade', 'Keys', 'Kettering', 'In the Snow'}",6,2026
Radiohead,307.8139,18468834,"{'Climbing Up the Walls', 'Weird Fishes / Arpeggi', 'Lucky', 'Glass Eyes', 'Black Star', 'My Iron Lung', 'Faust Arp', 'Bullet Proof ... I Wish I Was', 'Identikit', 'Pyramid Song', 'Subterranean Homesick Alien', 'Ful Stop', 'Reckoner', 'Idioteque', 'I Will', 'Where I End and You Begin', 'Just', 'In Limbo', 'Street Spirit (Fade Out)', '15 Step', 'Gagging Order', 'True Love Waits', 'Sail To The Moon', 'Nude', '(Nice Dream)', 'Man of War', 'Creep', 'How to Disappear Completely', 'Spectre', 'Optimistic', 'Knives Out', 'High and Dry', 'Karma Police', 'Present Tense', 'Lotus Flower', 'Fake Plastic Trees', '2 + 2 = 5', 'A Wolf At the Door', 'Videotape', 'Life In a Glasshouse', 'Codex', 'There, There', 'Give Up The Ghost', 'You And Whose Army?'}",6,2026
Queens of the Stone Age,286.4189,17185134,"{'Into The Hollow', 'The Vampyre of Time and Memory', 'Hanging Tree', 'River In The Road', ""You Can't Quit Me Baby"", 'Running Joke - Non-LP Version', 'Go With The Flow', 'Villains of Circumstance', '...Like Clockwork', 'The Way You Used To Do', 'Regular John', 'Hideaway', 'Mosquito Song', 'The Bronze', ""Everybody Knows That You're Insane"", 'Leg Of Lamb', 'Monsters In The Parasol', 'Long Slow Goodbye', 'Another Love Song', 'If I Had a Tail', 'I Never Came', 'Fortress', 'My God Is the Sun', 'I Appear Missing'}",6,2026
Carissa's Wierd,264.37716666666665,15862630,"{'Silently Leaving the Room', 'Fluorescent Lights', 'Heather Rhodes', 'Lazy Eyelids', ""They'll Only Miss You When You Leave"", 'A New Holiday (November 16th)', 'Unfaileable', 'All Apologies and Smiles, Yours Truely, Ugly Valentine', 'Die', '(March 19th 1983) It Was Probably Green', 'Low Budget Slow Motion Soundtrack Song for the Leaving Scene', 'Blankets Stare', 'The Color That Your Eyes Changed With the Color of Your Hair', 'A Loose Hair Falls Into a Glass of Water Without Ice', 'Drunk w/ the Only Saints I Know', 'To Be There Now', 'The Piano Song', 'Sofisticated Fuck Princess Please Leave Me Alone', 'September Come Take This Heart Away', 'So You Wanna Be A Superhero', 'A Bathtile Green', 'Farewell to All These Rotten Teeth', 'Ignorant Piece of Shit', 'One Night Stand', 'Some Days are Better Than Others', ""Halfway Spoken Heart that Feels Comfort in Everything Until it Disappears and Then it's Gone"", 'You Should Be Hated Here'}",6,2026
Bright Eyes,218.48685,13109211,"{'Old Soul Song (for the New World Order)', 'I Know You', 'A Perfect Sonnet', 'Land Locked Blues', 'Road to Joy', 'False Advertising', 'Nothing Gets Crossed Out', ""We Are Nowhere and It's Now"", 'A Line Allows Progress, A Circle Does Not', 'Gold Mine Gutted', 'Poison Oak', 'Haligh, Haligh, A Lie, Haligh', 'Something Vague', 'Lua', 'The Movement Of A Hand'}",6,2026
Sufjan Stevens,216.89025,13013415,"{'Should Have Known Better', 'Fourth of July', 'Futile Devices', 'John My Beloved', 'All of Me Wants All of You', ""The Seer's Tower"", 'Concerning the UFO sighting near Highland, Illinois', 'Murder And Crime', 'John Wayne Gacy, Jr.', 'The Predatory Wasp of the Palisades Is Out to Get Us!', 'Lost In The World', 'Beginner’s Mind', 'You Give Death A Bad Name', 'Blue Bucket of Gold', 'The Only Thing', 'Death with Dignity', 'Casimir Pulaski Day', 'Flint (For the Unemployed and Underpaid)', 'Holland', '(This Is) The Thing', 'Eugene', 'The Pillar Of Souls', 'Olympus', 'To Be Alone With You', 'Drawn to the Blood'}",6,2026
Beach House,206.74025,12404415,"{'PPP', 'Take Care', 'Zebra', 'On the Sea', 'Childhood', 'Lazuli', 'Somewhere Tonight', 'Myth', 'Walk in the Park', 'The Hours', 'Silver Soul', '10:37', 'New Year', 'Drunk In LA', 'Wild', 'Beyond Love'}",6,2026
Metallica,201.57976666666667,12094786,"{'Nothing Else Matters (Remastered)', 'Enter Sandman (Remastered)', 'The Unforgiven (Remastered)', 'Fuel (Remastered)', 'Hero of the Day (Remastered)', 'The Unforgiven II', 'One (Remastered)', 'The Memory Remains'}",6,2026
Green Day,185.16666666666666,11110000,"{'When I Come Around', 'Holiday / Boulevard of Broken Dreams', 'Pulling Teeth', 'Wake Me up When September Ends', 'Burnout', 'Boulevard of Broken Dreams', 'Coming Clean', 'Chump', 'Last of the American Girls', 'All by Myself', 'Basket Case', 'Sassafras Roots', 'American Idiot', 'Having a Blast', 'F.O.D.', 'Welcome to Paradise', 'Good Riddance (Time of Your Life)', 'Longview', ""Give Me Novacaine / She's a Rebel"", 'Give Me Novacaine', 'Emenius Sleepus', 'Last Night on Earth', 'She', '21 Guns', 'Holiday', 'In the End', 'Brain Stew', 'Jesus of Suburbia'}",6,2026
Silver Mt. Zion,183.62878333333333,11017727,"{'Mountains Made Of Steam', 'American Motor Over Smoldered Field', 'Movie (Never Made)', 'What We Loved Was Not Enough', 'BlindBlindBlind'}",6,2026
Elliott Smith,174.24085,10454451,"{'Angeles', 'Miss Misery', 'Last Call', 'No Name No. 5', ""I Didn't Understand"", 'Alameda', 'Speed Trials', 'The Biggest Lie', 'Twilight', 'Waltz #1', 'Needle in the Hay', 'Ballad of Big Nothing', '2:45 AM', 'Everything Means Nothing To Me', 'Pictures of Me', 'Say Yes', 'Roman Candle', 'A Fond Farewell', ""King's Crossing"", 'Pretty (Ugly Before)', 'Somebody That I Used To Know', 'Between the Bars', 'Christian Brothers - 25th Anniversary Remaster', 'Junk Bond Trader', 'Condor Ave', 'Waltz #2 (XO)'}",6,2026
Arcade Fire,159.48165,9568899,"{'Neighborhood #1 (Tunnels)', 'Ready to Start', 'Ocean of Noise', 'Neighborhood #3 (Power Out)', 'Half Light I', 'Awful Sound (Oh Eurydice)', 'Crown of Love', 'Rococo', 'The Suburbs', 'The Suburbs (continued)', 'Sprawl II (Mountains Beyond Mountains)', 'Neon Bible', 'In the Backseat', 'Deep Blue', 'Modern Man', 'No Cars Go', 'Headlights Look Like Diamonds'}",6,2026
Mud Flow,157.86685,9472011,"{'Panic', 'The Sense of Me', 'How I Got Depressed', 'Tribal Dance', 'Ryunosuke', 'Unfinished Relief', 'Planes', 'Five Against Six', 'Chemicals', 'The Sense of Me / Chemicals'}",6,2026
Giles Corey,153.09825,9185895,"{'Wounded Wolf', 'Spectral Bride', ""Winter's House"", 'The Haunting Presence', 'Guilt is My Boyfriend', 'Empty Churches', 'Blackest Bile', ""I'm Going to Do It"", 'Grave Filled with Books', 'Buried Above Ground', 'Sleeping Heart', 'No One Is Ever Going to Want Me'}",6,2026
Silversun Pickups,147.86343333333335,8871806,"{'Melatonin', 'Dream at Tempo 150', 'Kissing Families', 'Lazy Eye', 'Hereafter (Way After)', 'Dream at Tempo 310', 'The Royal We', 'Creation Lake', 'Seasick', 'Stillness (Way Beyond)', 'Straw Man', 'Panic Switch', 'Quicksand', 'Circadian Rhythm (Last Dance)', 'Well Thought Out Twinkles', 'Future Foe Scenarios'}",6,2026
