trackName,artistName,minutesPlayed,msPlayed,month,year
When I Was an Orphan,The Parlor Mob,322.5905833333333,19355435,8,2025
Into The Hollow,Queens of the Stone Age,281.92831666666666,16915699,8,2025
Nothing Else Matters (Remastered),Metallica,210.64068333333333,12638441,8,2025
Ready to Start,Arcade Fire,190.48523333333335,11429114,8,2025
Walk in the Park,Beach House,188.4805,11308830,8,2025
A Past and Future Secret - Remastered 2007,Blind Guardian,165.43818333333334,9926291,8,2025
Hallowed Be Thy Name (2015 Remaster),Iron Maiden,158.75388333333333,9525233,8,2025
War Pigs / Luke's Wall - 2012 - Remaster,Black Sabbath,151.88895,9113337,8,2025
Armchairs,Andrew Bird,144.81345000000002,8688807,8,2025
Rainmaker (2015 Remaster),Iron Maiden,132.27648333333332,7936589,8,2025
Nuclear,Mike Oldfield,126.66135,7599681,8,2025
The World Has Turned And Left Me Here,Weezer,119.89595,7193757,8,2025
Cold Cold Cold,Cage The Elephant,109.77483333333333,6586490,8,2025
Hands,The Raconteurs,104.52284999999999,6271371,8,2025
3's & 7's,Queens of the Stone Age,98.021,5881260,8,2025
Paranoid - 2012 - Remaster,Black Sabbath,92.24266666666666,5534560,8,2025
Dr Strangeluv,Blonde Redhead,82.98573333333333,4979144,8,2025
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,81.52811666666666,4891687,8,2025
We Begged 2 Explode,Jeff Rosenstock,80.507,4830420,8,2025
Death with Dignity,Sufjan Stevens,77.97083333333333,4678250,8,2025
Messes Of Men,mewithoutYou,77.67663333333333,4660598,8,2025
I Never Came,Queens of the Stone Age,76.31208333333333,4578725,8,2025
Bukowski,Modest Mouse,76.26025,4575615,8,2025
Says,Nils Frahm,75.00755000000001,4500453,8,2025
Mother,IDLES,63.003283333333336,3780197,8,2025
He Doesn't Know Why,Fleet Foxes,60.143316666666664,3608599,8,2025
Slow Hands,Interpol,58.30435,3498261,8,2025
Lovewave,The 1-800,53.86344999999999,3231807,8,2025
Running Joke - Non-LP Version,Queens of the Stone Age,49.47241666666667,2968345,8,2025
Lampshades on Fire,Modest Mouse,44.4388,2666328,8,2025
Shift - Alternate Version,Grizzly Bear,42.5509,2553054,8,2025
Bone Machine - 2007 Remaster,Pixies,34.36841666666667,2062105,8,2025
Fell In Love With a Girl,The White Stripes,33.851333333333336,2031080,8,2025
Every Little Thing,The Black Keys,32.048066666666664,1922884,8,2025
Liar,Built To Spill,27.78223333333333,1666934,8,2025
Still Ill - 2011 Remaster,The Smiths,26.899466666666665,1613968,8,2025
Consoler of the Lonely,The Raconteurs,26.034766666666666,1562086,8,2025
Loved Despite of Great Faults,Blonde Redhead,25.2573,1515438,8,2025
PPP,Beach House,24.3873,1463238,8,2025
Pretty Visitors,Arctic Monkeys,23.347450000000002,1400847,8,2025
Churchyard,AURORA,22.563950000000002,1353837,8,2025
Save Your Tears,The Weeknd,21.5626,1293756,8,2025
Rest My Chemistry,Interpol,21.10975,1266585,8,2025
From the Hips,Cursive,19.614416666666667,1176865,8,2025
Almost Like This,Throbbing Gristle,19.274716666666666,1156483,8,2025
"Touch Me I'm Going To Scream, Pt. 2",My Morning Jacket,18.824483333333333,1129469,8,2025
Beyond,Daft Punk,18.8044,1128264,8,2025
Storm,Godspeed You! Black Emperor,18.429266666666667,1105756,8,2025
Like a Stone,Audioslave,17.357433333333333,1041446,8,2025
Comforting Sounds,Mew,17.286900000000003,1037214,8,2025
Villains of Circumstance,Queens of the Stone Age,17.125,1027500,8,2025
Glorious,The Breeders,17.0355,1022130,8,2025
Hope,Vampire Weekend,15.928916666666666,955735,8,2025
