artistName,minutesPlayed,msPlayed,tracks,month,year
The Antlers,591.5587333333333,35493524,"{'Zelda', 'Epilogue', 'Sylvia', ""I'm Hibernating"", ""I Don't Want Love"", 'Doppelgänger', 'Tiptoe', 'On the Roof', 'Director', 'Shh!', 'Hounds', 'Corsicana', 'Endless Ladder', ""Flash Floods Don't Retreat"", 'French Exit', 'The Universe Is Going To Catch You', 'Shiva', 'Crest', 'First Field', 'In the Attic', 'Intruders', 'Look!', 'Parentheses', 'Surrender', 'Palace', 'Putting The Dog To Sleep', 'Thirteen', 'Drift Dive', 'Stairs to the Attic', 'No Widows', 'Uprooted', 'Two', 'Atrophy', 'Bear', 'Nashua', 'Prologue', 'Wake', 'Parade', 'Keys', 'Kettering', 'In the Snow'}",5,2026
Metallica,520.6301666666667,31237810,"{'Wherever I May Roam (Remastered)', 'Nothing Else Matters (Remastered)', 'Enter Sandman (Remastered)', 'Sad But True (Remastered)', 'The Unforgiven (Remastered)', 'The Day That Never Comes', 'Fade To Black (Remastered)', 'Seek & Destroy (Remastered)', 'One (Remastered)', 'The Unforgiven II', 'For Whom The Bell Tolls (Remastered)', 'Master of Puppets (Remastered)'}",5,2026
Radiohead,386.4876,23189256,"{'Climbing Up the Walls', 'The Tourist', 'No Surprises', 'Glass Eyes', 'Lucky', 'Black Star', 'Faust Arp', 'Pyramid Song', 'Identikit', 'Bullet Proof ... I Wish I Was', 'Subterranean Homesick Alien', 'All I Need', 'Reckoner', 'I Will', 'Where I End and You Begin', 'Last Flowers', 'Just', 'Street Spirit (Fade Out)', '15 Step', 'Paranoid Android', 'Gagging Order', 'Decks Dark', 'The National Anthem', 'Sail To The Moon', 'Nude', 'Man of War', '(Nice Dream)', 'I Might Be Wrong', 'How to Disappear Completely', 'Optimistic', 'Knives Out', 'Spectre', 'Present Tense', 'Daydreaming', '2 + 2 = 5', 'Jigsaw Falling Into Place', 'A Wolf At the Door', 'Videotape', 'Life In a Glasshouse', 'Codex', 'There, There', 'Bodysnatchers', 'Give Up The Ghost', 'Talk Show Host', 'You And Whose Army?', 'House Of Cards'}",5,2026
Queens of the Stone Age,301.81315,18108789,"{'Into The Hollow', 'The Vampyre of Time and Memory', 'Domesticated Animals', 'River In The Road', 'Running Joke - Non-LP Version', 'Go With The Flow', 'Villains of Circumstance', '...Like Clockwork', 'No One Knows', ""Everybody Knows That You're Insane"", 'Leg Of Lamb', 'Monsters In The Parasol', '""You Got A Killer Scene There, Man...""', 'Keep Your Eyes Peeled', 'Long Slow Goodbye', 'Another Love Song', 'Turnin On The Screw', 'I Never Came', 'Carnavoyeur', 'I Sat by the Ocean', 'Fortress', 'God Is In The Radio', 'Kalopsia', 'I Appear Missing', 'Suture Up Your Future'}",5,2026
Carissa's Wierd,297.86778333333336,17872067,"{'Silently Leaving the Room', 'Heather Rhodes', ""Brooke Daniels' Tiny Broken Fingers"", 'Lazy Eyelids', ""They'll Only Miss You When You Leave"", 'A New Holiday (November 16th)', 'All Apologies and Smiles, Yours Truely, Ugly Valentine', 'Die', 'Blessed Arms That Hold You Tight, Freezing Cold and Alone', '(March 19th 1983) It Was Probably Green', 'You Should Be at Home Here', 'Low Budget Slow Motion Soundtrack Song for the Leaving Scene', 'The Color That Your Eyes Changed With the Color of Your Hair', 'A Loose Hair Falls Into a Glass of Water Without Ice', 'Drunk w/ the Only Saints I Know', 'Sympathy Bush', 'To Be There Now', 'The Piano Song', 'The Ghost of a Dead Hummingbird Flying Around the Room', 'Sofisticated Fuck Princess Please Leave Me Alone', 'September Come Take This Heart Away', 'So You Wanna Be A Superhero', 'Blue Champagne Glass', 'Gauze', 'Farewell to All These Rotten Teeth', 'Ignorant Piece of Shit', 'One Night Stand', ""Halfway Spoken Heart that Feels Comfort in Everything Until it Disappears and Then it's Gone"", 'You Should Be Hated Here', 'Meredith & Iris'}",5,2026
Beach House,244.34055,14660433,"{'PPP', 'On the Sea', 'Wishes', 'Astronaut', 'Levitation', 'Take Care', 'Rough Song', 'Wildflower', 'Pink Funeral', 'Silver Soul', 'Beyond Love', 'Home Again', 'Gila', 'Majorette', 'Myth', 'Apple Orchard', 'Drunk In LA', 'Lazuli', 'Troublemaker', 'Somewhere Tonight', '10:37', 'Wild'}",5,2026
The Strokes,210.23796666666667,12614278,"{'Trying Your Luck', 'Is This It', 'The Adults Are Talking', 'Ode To The Mets', 'Falling out of Love', 'Selfless', 'Why Are Sundays So Depressing', 'At The Door', 'Modern Girls & Old Fashion Men - Reptilia B-Side', 'Reptilia', '12:51', 'What Ever Happened?', 'Chances', 'I\'ll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side', 'Welcome To Japan', 'Call It Fate, Call It Karma', 'Hard To Explain', ""80's Comedown Machine"", 'Oblivius', 'Not The Same Anymore', 'Alone, Together', 'One Way Trigger', 'Under Cover of Darkness'}",5,2026
Sufjan Stevens,197.88253333333333,11872952,"{'My Red Little Fox', 'Fourth of July', ""The Seer's Tower"", 'Concerning the UFO sighting near Highland, Illinois', 'Murder And Crime', 'John Wayne Gacy, Jr.', 'Lost In The World', 'Blue Bucket of Gold', 'The Only Thing', 'Death with Dignity', 'Casimir Pulaski Day', 'Carrie & Lowell', 'Mystery of Love', 'No Shade in the Shadow of The Cross', 'Romulus', 'Flint (For the Unemployed and Underpaid)', 'Make Out in My Car - Sufjan Stevens Version', 'Lacrimae', 'Size Too Small', '(This Is) The Thing', 'The Pillar Of Souls', 'Olympus', 'To Be Alone With You', 'Drawn to the Blood'}",5,2026
Mud Flow,189.7238,11383428,"{'The Sense of Me', 'In Time', 'How I Got Depressed', 'Shooting Star', 'Tribal Dance', 'Ryunosuke', 'Debbie & Charlie - The True Story', 'Unfinished Relief', 'Today', 'Debbie & Charlie', 'Song 1', 'Five Against Six', 'Chemicals', 'The Sense of Me / Chemicals'}",5,2026
Bright Eyes,177.72603333333333,10663562,"{'Laura Laurent', 'Old Soul Song (for the New World Order)', 'Road to Joy', 'A Perfect Sonnet', 'Train Under Water', 'You Will. You? Will. You? Will. You? Will.', 'Easy/Lucky/Free', 'If Winter Ends', 'The Calendar Hung Itself…', 'Gold Mine Gutted', ""We Are Nowhere and It's Now"", 'A Line Allows Progress, A Circle Does Not', 'Poison Oak', ""Lover I Don't Have to Love"", 'Lua', 'The Center Of The World', 'The Movement Of A Hand'}",5,2026
