trackName,artistName,minutesPlayed,msPlayed,month,year
The Unforgiven II,Metallica,72.68066666666667,4360840,6,2026
BlindBlindBlind,Silver Mt. Zion,66.47775,3988665,6,2026
I Know You,Bright Eyes,65.9727,3958362,6,2026
Atrophy,The Antlers,65.97088333333333,3958253,6,2026
American Motor Over Smoldered Field,Silver Mt. Zion,60.417750000000005,3625065,6,2026
The Unforgiven (Remastered),Metallica,59.058499999999995,3543510,6,2026
The Memory Remains,Metallica,56.301566666666666,3378094,6,2026
Five Against Six,Mud Flow,53.5733,3214398,6,2026
Thru The Eyes Of Ruby - Remastered 2012,The Smashing Pumpkins,53.337666666666664,3200260,6,2026
Wake,The Antlers,52.402699999999996,3144162,6,2026
Gimme Shelter,The Rolling Stones,49.64171666666666,2978503,6,2026
Pictures of Me,Elliott Smith,49.20526666666667,2952316,6,2026
Wake Me up When September Ends,Green Day,47.636449999999996,2858187,6,2026
Moth To A Flame (with The Weeknd),Swedish House Mafia,46.8031,2808186,6,2026
Long Slow Goodbye,Queens of the Stone Age,46.3326,2779956,6,2026
Lullaby,Low,46.08828333333334,2765297,6,2026
Racehorse: Get Married!,Jordaan Mason,44.47846666666666,2668708,6,2026
Passing Afternoon,Iron & Wine,44.30833333333333,2658500,6,2026
Play Crack The Sky,Brand New,43.717333333333336,2623040,6,2026
Degausser,Brand New,43.320933333333336,2599256,6,2026
Chemicals,Mud Flow,43.28018333333333,2596811,6,2026
Myth,Beach House,43.13923333333333,2588354,6,2026
Villains of Circumstance,Queens of the Stone Age,43.08943333333333,2585366,6,2026
PPP,Beach House,42.997150000000005,2579829,6,2026
Armchairs,Andrew Bird,42.273300000000006,2536398,6,2026
Blackest Bile,Giles Corey,42.1,2526000,6,2026
Mountains Made Of Steam,Silver Mt. Zion,41.96675,2518005,6,2026
Two,The Antlers,41.52715,2491629,6,2026
Seasick,Silversun Pickups,40.52706666666667,2431624,6,2026
The Color That Your Eyes Changed With the Color of Your Hair,Carissa's Wierd,40.50458333333333,2430275,6,2026
Black,Pearl Jam,39.97618333333333,2398571,6,2026
No One Is Ever Going to Want Me,Giles Corey,39.908366666666666,2394502,6,2026
Bring It Back Gentle,Desert Sessions,39.181133333333335,2350868,6,2026
On the Sea,Beach House,38.787816666666664,2327269,6,2026
Zelda,The Antlers,38.652483333333336,2319149,6,2026
My Favorite Heart to Break,The Parlor Mob,38.23341666666666,2294005,6,2026
In the Backseat,Arcade Fire,37.69036666666667,2261422,6,2026
Lazy Eyelids,Carissa's Wierd,37.39138333333333,2243483,6,2026
Farewell to All These Rotten Teeth,Carissa's Wierd,37.312133333333335,2238728,6,2026
i think about you all the time,Deftones,37.3,2238000,6,2026
That Joke Isn't Funny Anymore,The Smiths,36.472633333333334,2188358,6,2026
Last Night I Dreamt That Somebody Loved Me - 2011 Remaster,The Smiths,36.16583333333334,2169950,6,2026
Man of War,Radiohead,35.830983333333336,2149859,6,2026
Pillars,Sunny Day Real Estate,34.65788333333333,2079473,6,2026
Perfect Day,Lou Reed,34.3027,2058162,6,2026
As Tears Go By - Mono Version,The Rolling Stones,33.78113333333334,2026868,6,2026
When I Was an Orphan,The Parlor Mob,33.48951666666667,2009371,6,2026
80's Comedown Machine,The Strokes,33.29566666666667,1997740,6,2026
Surrender,The Antlers,32.691583333333334,1961495,6,2026
Fortress,Queens of the Stone Age,32.54158333333333,1952495,6,2026
Mountains,Message To Bears,31.933316666666666,1915999,6,2026
...Like Clockwork,Queens of the Stone Age,31.90635,1914381,6,2026
Black Hole Sun,Soundgarden,31.858700000000002,1911522,6,2026
Blue Bucket of Gold,Sufjan Stevens,31.820116666666667,1909207,6,2026
Lua,Bright Eyes,31.686666666666664,1901200,6,2026
Optimistic,Radiohead,31.5973,1895838,6,2026
Send Me An Angel,Highly Suspect,31.43466666666667,1886080,6,2026
Kettering,The Antlers,31.124,1867440,6,2026
Headlights Look Like Diamonds,Arcade Fire,31.011516666666665,1860691,6,2026
A Nervous Tic Motion of the Head to the Left,Andrew Bird,30.9207,1855242,6,2026
Luca,Brand New,30.8667,1852002,6,2026
Bury Me Deep Inside Your Heart,HIM,30.845466666666667,1850728,6,2026
Venus Doom,HIM,30.836,1850160,6,2026
Roman Candle,Elliott Smith,30.024683333333336,1801481,6,2026
Little One,Highly Suspect,29.550466666666665,1773028,6,2026
Radio/Video,System Of A Down,29.407216666666663,1764433,6,2026
Like a Stone,Audioslave,29.396,1763760,6,2026
Do You Wanna Get High?,Weezer,28.747333333333334,1724840,6,2026
Chemtrails,Beck,28.5912,1715472,6,2026
Melatonin,Silversun Pickups,28.56315,1713789,6,2026
The Movement Of A Hand,Bright Eyes,28.3346,1700076,6,2026
Fourth of July,Sufjan Stevens,27.931600000000003,1675896,6,2026
Ode To The Mets,The Strokes,27.744733333333333,1664684,6,2026
"Sweet Dreams, TN",The Last Shadow Puppets,27.562849999999997,1653771,6,2026
X.Y.U. - Remastered 2012,The Smashing Pumpkins,27.44305,1646583,6,2026
Aerials,System Of A Down,27.4229,1645374,6,2026
Alison,Slowdive,26.834533333333333,1610072,6,2026
Human Sadness,The Voidz,26.40758333333333,1584455,6,2026
Wounded Wolf,Giles Corey,26.299599999999998,1577976,6,2026
Stillness (Way Beyond),Silversun Pickups,26.267916666666665,1576075,6,2026
It's All Tears - Drown In This Love,HIM,26.126216666666668,1567573,6,2026
I'm Hibernating,The Antlers,25.990183333333334,1559411,6,2026
Sober,TOOL,25.96483333333333,1557890,6,2026
Into The Hollow,Queens of the Stone Age,25.938850000000002,1556331,6,2026
Ready to Start,Arcade Fire,25.5907,1535442,6,2026
Somewhere Tonight,Beach House,25.3936,1523616,6,2026
The Giant Of Illinois,Andrew Bird,25.32395,1519437,6,2026
Change (In the House of Flies),Deftones,25.111833333333333,1506710,6,2026
(Nice Dream),Radiohead,24.740833333333335,1484450,6,2026
Shiva,The Antlers,24.678083333333333,1480685,6,2026
Wolf Like Me ft. Shovels & Rope,Lera Lynn,24.5013,1470078,6,2026
"A Line Allows Progress, A Circle Does Not",Bright Eyes,24.435716666666668,1466143,6,2026
A Held Breath,German Error Message,24.289283333333334,1457357,6,2026
Never as Tired as When I'm Waking Up,LCD Soundsystem,24.15775,1449465,6,2026
Well I Wonder - 2011 Remaster,The Smiths,23.942700000000002,1436562,6,2026
Ginkgo,Panchiko,23.640683333333335,1418441,6,2026
Ladies and gentlemen we are floating in space,Spiritualized,23.4053,1404318,6,2026
Bear,The Antlers,23.3933,1403598,6,2026
Snuff,Slipknot,23.01225,1380735,6,2026
The Universe Is Going To Catch You,The Antlers,22.8767,1372602,6,2026
My Least Favorite Life - From The HBO Series True Detective,Lera Lynn,22.744500000000002,1364670,6,2026
