artistName,minutesPlayed,msPlayed,tracks,month,year
Queens of the Stone Age,660.2914166666667,39617485,"{'Into The Hollow', 'The Vampyre of Time and Memory', ""3's & 7's"", 'Hanging Tree', 'River In The Road', 'Running Joke - Non-LP Version', 'First It Giveth', 'Un-Reborn Again', 'Better Living Through Chemistry', 'Go With The Flow', 'Villains of Circumstance', '...Like Clockwork', 'No One Knows', 'Mosquito Song', 'The Lost Art Of Keeping A Secret', 'Another Love Song', 'Running Joke / Paper Machete - Alive in the Catacombs', 'If I Had a Tail', 'I Think I Lost My Headache', 'I Never Came', 'I Sat by the Ocean', 'Fortress', 'My God Is the Sun', 'Kalopsia', 'I Appear Missing', 'Suture Up Your Future'}",8,2025
Iron Maiden,337.7255,20263530,"{'Gangland (2015 Remaster)', 'Killers (2015 Remaster)', 'Run to the Hills (2015 Remaster)', 'The Number of the Beast (2015 Remaster)', 'Hallowed Be Thy Name (2015 Remaster)', 'Invaders (2015 Remaster)', 'Children of the Damned (2015 Remaster)', 'The Prisoner (2015 Remaster)', 'The Trooper (2015 Remaster)', '22 Acacia Avenue (2015 Remaster)', 'Rainmaker (2015 Remaster)'}",8,2025
The Parlor Mob,325.67725,19540635,"{'When I Was an Orphan', 'Dead Wrong'}",8,2025
Beach House,265.3437,15920622,"{'PPP', 'Zebra', 'On the Sea', 'Space Song', 'Days of Candy', 'Myth', 'Wildflower', ""She's So Lovely"", 'Silver Soul', 'Walk in the Park', 'Lazuli', 'Beyond Love'}",8,2025
Black Sabbath,252.78746666666666,15167248,"{'Paranoid - 2012 - Remaster', ""War Pigs / Luke's Wall - 2012 - Remaster"", 'Heaven and Hell - 2008 Remaster'}",8,2025
Metallica,220.80553333333333,13248332,"{'Enter Sandman (Remastered)', 'Master of Puppets (Remastered)', 'Nothing Else Matters (Remastered)', 'For Whom The Bell Tolls (Remastered)'}",8,2025
Arcade Fire,201.7928,12107568,"{'Crown of Love', 'No Cars Go', 'Ready to Start'}",8,2025
Weezer,178.90266666666668,10734160,"{'Devotion', 'You Gave Your Love To Me Softly', 'Long Time Sunshine', 'Buddy Holly', 'Island In The Sun', 'El Scorcho', 'The World Has Turned And Left Me Here', 'Do You Wanna Get High?', 'Butterfly', 'Pink Triangle', 'Why Bother?', 'I Just Threw Out The Love Of My Dreams'}",8,2025
Blonde Redhead,170.27116666666666,10216270,"{'Elephant Woman', 'Heroine', 'Equus', 'Falling Man', 'Spring and by Summer Fall', 'This Is Not', 'Melody of Certain Three', '23', 'Dr Strangeluv', 'Messenger', 'Loved Despite of Great Faults'}",8,2025
Blind Guardian,169.09618333333333,10145771,"{'Harvest of Sorrow - Remastered 2007', 'A Past and Future Secret - Remastered 2007'}",8,2025
Andrew Bird,156.12721666666667,9367633,"{'Pulaski at Night', 'Armchairs', 'Skin Is, My', 'Fake Palindromes'}",8,2025
The Raconteurs,146.56125,8793675,"{'Intimate Secretary', 'Hands', 'Broken Boy Soldier', ""You Don't Understand Me"", 'Consoler of the Lonely', 'Steady, As She Goes'}",8,2025
Modest Mouse,146.00768333333332,8760461,"{'3rd Planet', 'The World At Large', 'Lampshades on Fire', 'Broke', 'Gravity Rides Everything', 'March Into the Sea', 'Bukowski'}",8,2025
Mike Oldfield,126.66135,7599681,{'Nuclear'},8,2025
The Smiths,125.58295,7534977,"{'Still Ill - 2011 Remaster', 'Asleep - 2011 Remaster', 'Well I Wonder - 2011 Remaster', 'Pretty Girls Make Graves - 2011 Remaster', 'There Is a Light That Never Goes Out - 2011 Remaster', 'Please, Please, Please, Let Me Get What I Want - 2011 Remaster'}",8,2025
Cage The Elephant,125.28776666666667,7517266,"{'Come a Little Closer', 'Cold Cold Cold', 'Trouble', 'Too Late To Say Goodbye', ""Ain't No Rest for the Wicked"", 'Telescope'}",8,2025
