artistName,minutesPlayed,msPlayed,tracks,month,year
The Antlers,682.3091333333333,40938548,"{'Every Night My Teeth Are Falling Out', 'Zelda', 'Epilogue', 'Sylvia', ""I'm Hibernating"", 'On the Roof', 'Director', 'The Universe Is Going To Catch You', 'Shiva', 'First Field', 'In the Attic', 'Look!', 'Parentheses', 'Surrender', 'Thirteen', 'Stairs to the Attic', 'Uprooted', 'No Widows', 'Two', 'Atrophy', 'Bear', 'Nashua', 'Prologue', 'Wake', 'Parade', 'Keys', 'Kettering'}",4,2026
Radiohead,440.32978333333335,26419787,"{'Climbing Up the Walls', 'The Tourist', 'Weird Fishes / Arpeggi', 'Glass Eyes', 'Lucky', 'Faust Arp', 'Black Star', 'Myxomatosis', 'My Iron Lung', 'Pyramid Song', 'Identikit', 'House Of Cards', 'Bullet Proof ... I Wish I Was', 'Reckoner', 'Where I End and You Begin', 'I Will', 'Last Flowers', 'Just', 'Street Spirit (Fade Out)', '15 Step', 'Gagging Order', 'True Love Waits', 'Sail To The Moon', 'Nude', 'Man of War', '(Nice Dream)', 'Airbag', 'How to Disappear Completely', 'Spectre', 'Optimistic', 'Knives Out', 'Karma Police', 'Present Tense', 'Lotus Flower', 'Jigsaw Falling Into Place', 'A Wolf At the Door', 'Videotape', 'There, There', 'Bodysnatchers', 'Talk Show Host', 'You And Whose Army?', 'Lift'}",4,2026
Queens of the Stone Age,330.7103,19842618,"{'Into The Hollow', 'The Vampyre of Time and Memory', 'Villains of Circumstance', '...Like Clockwork', 'Leg Of Lamb', 'River In The Road', 'Fortress', 'Monsters In The Parasol', 'Auto Pilot', '""You Got A Killer Scene There, Man...""', 'Running Joke - Non-LP Version', ""Someone's In The Wolf"", 'First It Giveth', 'Another Love Song', 'Kalopsia', 'Mosquito Song', 'I Appear Missing'}",4,2026
Carissa's Wierd,299.17178333333334,17950307,"{'Silently Leaving the Room', ""Brooke Daniels' Tiny Broken Fingers"", 'Heather Rhodes', 'Fluorescent Lights', 'Lazy Eyelids', ""They'll Only Miss You When You Leave"", 'A New Holiday (November 16th)', 'All Apologies and Smiles, Yours Truely, Ugly Valentine', ""Sharin' a Hole"", '(March 19th 1983) It Was Probably Green', 'You Should Be at Home Here', 'Low Budget Slow Motion Soundtrack Song for the Leaving Scene', 'Blankets Stare', 'The Color That Your Eyes Changed With the Color of Your Hair', 'A Loose Hair Falls Into a Glass of Water Without Ice', 'Drunk w/ the Only Saints I Know', 'Sympathy Bush', 'To Be There Now', 'Chelsea Hotel', 'The Piano Song', 'Sofisticated Fuck Princess Please Leave Me Alone', 'September Come Take This Heart Away', 'So You Wanna Be A Superhero', 'Gauze', 'Farewell to All These Rotten Teeth', 'Ignorant Piece of Shit', 'One Night Stand', 'Some Days are Better Than Others', 'You Should Be Hated Here'}",4,2026
Beach House,287.51463333333334,17250878,"{'PPP', 'Bluebird', 'On the Sea', 'Lose Your Smile', 'Wildflower', 'Beyond Love', 'Black Car', 'Gila', '10 Mile Stereo', 'Myth', 'Drunk In LA', 'Lazuli', 'Zebra', 'Heart of Chambers', 'Childhood', 'Somewhere Tonight', ""She's So Lovely"", 'The Hours', '10:37', 'Wild'}",4,2026
Mud Flow,279.02545,16741527,"{'Panic', 'The Sense of Me', 'In Time', 'How I Got Depressed', 'Shooting Star', 'Ryunosuke', 'Debbie & Charlie - The True Story', 'Planes', 'Today', 'Debbie & Charlie', 'Song 1', 'Five Against Six', 'Chemicals'}",4,2026
Giles Corey,240.96263333333334,14457758,"{'Wounded Wolf', 'Spectral Bride', ""Winter's House"", 'Guilt is My Boyfriend', 'Empty Churches', 'Blackest Bile', 'Grave Filled with Books', 'Buried Above Ground', 'Sleeping Heart', 'No One Is Ever Going to Want Me'}",4,2026
Bright Eyes,221.04233333333332,13262540,"{'Poison Oak', ""Lover I Don't Have to Love"", 'Something Vague', 'Lua', 'Arienette', 'A Perfect Sonnet', 'You Will. You? Will. You? Will. You? Will.', 'A Line Allows Progress, A Circle Does Not', 'June On The West Coast', 'Motion Sickness', 'Train Under Water', 'The Movement Of A Hand', 'A Spindle, A Darkness, A Fever, And A Necklace', 'Old Soul Song (for the New World Order)', 'Road to Joy', 'Easy/Lucky/Free', 'Land Locked Blues', 'The Calendar Hung Itself…', ""We Are Nowhere and It's Now"", 'False Advertising', 'Gold Mine Gutted'}",4,2026
Sufjan Stevens,209.04656666666668,12542794,"{'John Wayne Gacy, Jr.', 'Should Have Known Better', 'Lost In The World', ""Now That I'm Older"", 'Fourth of July', 'Futile Devices', ""We Won't Need Legs To Stand"", 'Blue Bucket of Gold', 'Back To Oz', 'The Pillar Of Souls', 'All of Me Wants All of You', ""The Seer's Tower"", 'Concerning the UFO sighting near Highland, Illinois', 'Murder And Crime'}",4,2026
Arcade Fire,204.82491666666667,12289495,"{'Neighborhood #1 (Tunnels)', 'Ready to Start', 'Vampires / Forest Fire', 'The Suburbs', 'Crown of Love', 'Black Mirror', 'Rococo', 'Intervention', 'Sprawl II (Mountains Beyond Mountains)', 'Neighborhood #2 (Laika)', 'In the Backseat', 'Modern Man', 'Headlights Look Like Diamonds', 'Speaking in Tongues (feat. David Byrne)'}",4,2026
