trackName,artistName,minutesPlayed,msPlayed,month,year
Speed Trials,Elliott Smith,273.76823333333334,16426094,1,2026
Wake,The Antlers,202.25646666666665,12135388,1,2026
Chemicals,Mud Flow,143.87821666666667,8632693,1,2026
Vanity,Highly Suspect,134.05216666666666,8043130,1,2026
Farewell to All These Rotten Teeth,Carissa's Wierd,130.3995666666667,7823974,1,2026
I Want To Be Well,Sufjan Stevens,120.41501666666667,7224901,1,2026
Myth,Beach House,98.45331666666667,5907199,1,2026
Melatonin,Silversun Pickups,97.26188333333333,5835713,1,2026
Empty Bones,The Growlers,97.16958333333334,5830175,1,2026
Seasick,Silversun Pickups,94.97381666666666,5698429,1,2026
That Joke Isn't Funny Anymore,The Smiths,91.09328333333333,5465597,1,2026
Two,The Antlers,90.25153333333334,5415092,1,2026
Armchairs,Andrew Bird,90.23335,5414001,1,2026
Layla,Derek & The Dominos,89.3893,5363358,1,2026
No One Is Ever Going to Want Me,Giles Corey,89.16765000000001,5350059,1,2026
Blackest Bile,Giles Corey,86.43933333333334,5186360,1,2026
Jenny Was A Friend Of Mine,The Killers,85.88738333333333,5153243,1,2026
Is There Anybody Here?,The Dear Hunter,84.86971666666666,5092183,1,2026
Shiva,The Antlers,78.18993333333333,4691396,1,2026
In the Backseat,Arcade Fire,76.08268333333334,4564961,1,2026
Weight of Love,The Black Keys,75.20095,4512057,1,2026
Villains of Circumstance,Queens of the Stone Age,73.32683333333333,4399610,1,2026
On the Sea,Beach House,72.46698333333333,4348019,1,2026
Last Night I Dreamt That Somebody Loved Me - 2011 Remaster,The Smiths,71.04026666666667,4262416,1,2026
PPP,Beach House,70.94303333333333,4256582,1,2026
Blue Bucket of Gold,Sufjan Stevens,70.56755,4234053,1,2026
I Know It's Over - 2011 Remaster,The Smiths,68.6463,4118778,1,2026
Dirty Harry (feat. Bootie Brown),Gorillaz,67.61098333333334,4056659,1,2026
Degausser,Brand New,66.68551666666667,4001131,1,2026
Fourth of July,Sufjan Stevens,65.80915,3948549,1,2026
Luca,Brand New,65.71795,3943077,1,2026
Ode To The Mets,The Strokes,64.5141,3870846,1,2026
The Hurricane,Teen Suicide,64.38236666666667,3862942,1,2026
Optimistic,Radiohead,63.22273333333334,3793364,1,2026
Mister Asylum,Highly Suspect,63.16916666666666,3790150,1,2026
Black,Pearl Jam,62.819716666666665,3769183,1,2026
Undone,Message To Bears,62.0842,3725052,1,2026
...Like Clockwork,Queens of the Stone Age,61.870216666666664,3712213,1,2026
Pillars,Sunny Day Real Estate,61.31585,3678951,1,2026
Kids with Guns,Gorillaz,60.812083333333334,3648725,1,2026
Welcome Home,Coheed and Cambria,59.36835,3562101,1,2026
Send Me An Angel,Highly Suspect,58.37866666666667,3502720,1,2026
Another Love Song,Queens of the Stone Age,58.0888,3485328,1,2026
When I Was an Orphan,The Parlor Mob,57.55955,3453573,1,2026
Ready to Start,Arcade Fire,55.446283333333334,3326777,1,2026
Change (In the House of Flies),Deftones,55.366233333333334,3321974,1,2026
Golden Brown,The Stranglers,53.95291666666667,3237175,1,2026
i think about you all the time,Deftones,53.94878333333333,3236927,1,2026
Like a Stone,Audioslave,53.89266666666667,3233560,1,2026
Auto Pilot,Queens of the Stone Age,53.78118333333333,3226871,1,2026
Kettering,The Antlers,53.40946666666667,3204568,1,2026
Ladies and gentlemen we are floating in space,Spiritualized,53.2081,3192486,1,2026
"Paint It, Black",The Rolling Stones,53.04383333333333,3182630,1,2026
Hellraiser - 30th Anniversary Edition,Ozzy Osbourne,52.7684,3166104,1,2026
Mountains,Message To Bears,52.30051666666667,3138031,1,2026
Little One,Highly Suspect,51.55376666666667,3093226,1,2026
The Piano Song,Carissa's Wierd,50.28176666666667,3016906,1,2026
Aerials,System Of A Down,49.75138333333333,2985083,1,2026
Bear,The Antlers,48.55413333333333,2913248,1,2026
Into The Hollow,Queens of the Stone Age,48.17215,2890329,1,2026
Bring The Sun/Toussaint L'Ouverture,Swans,47.688183333333335,2861291,1,2026
The Jetset Life Is Gonna Kill You,My Chemical Romance,47.17548333333333,2830529,1,2026
I Go to the Barn Because I Like The,Band of Horses,46.62293333333333,2797376,1,2026
Right Where It Belongs,Nine Inch Nails,45.92916666666667,2755750,1,2026
My Least Favorite Life - From The HBO Series True Detective,Lera Lynn,45.4168,2725008,1,2026
Under the Bridge,Red Hot Chili Peppers,42.692099999999996,2561526,1,2026
The Angry River (feat. Father John Misty and S.I. Istwa) [Theme From the HBO Series True Detective],The Hat,42.31271666666667,2538763,1,2026
Do You Wanna Get High?,Weezer,41.552,2493120,1,2026
Kissing Families,Silversun Pickups,41.11745,2467047,1,2026
Ferris Wheel on Fire - 1993,Neutral Milk Hotel,40.834849999999996,2450091,1,2026
Love is a Laserquest,Arctic Monkeys,38.285399999999996,2297124,1,2026
Epilogue,The Antlers,37.15903333333333,2229542,1,2026
Cheap Talk,Death From Above 1979,36.30676666666667,2178406,1,2026
You Are a Memory,Message To Bears,34.759,2085540,1,2026
Running Joke - Non-LP Version,Queens of the Stone Age,34.39225,2063535,1,2026
Big Black Cloud,The Microphones,33.62978333333333,2017787,1,2026
April 8th,Neutral Milk Hotel,31.622966666666667,1897378,1,2026
QYURRYUS,The Voidz,31.334883333333334,1880093,1,2026
Bright Blue Pickup Truck,Teen Suicide,30.928883333333335,1855733,1,2026
Lonely Day,System Of A Down,30.6144,1836864,1,2026
Learning,Perfume Genius,30.247616666666666,1814857,1,2026
The Sense of Me,Mud Flow,27.923133333333336,1675388,1,2026
Heart In a Cage,The Strokes,26.7778,1606668,1,2026
Broken Heart,Spiritualized,26.5538,1593228,1,2026
Impossible Soul,Sufjan Stevens,25.602,1536120,1,2026
Until The End,Breaking Benjamin,25.291483333333332,1517489,1,2026
Bloodflood,alt-J,24.942700000000002,1496562,1,2026
Casimir Pulaski Day,Sufjan Stevens,23.626266666666666,1417576,1,2026
Climbing Up the Walls,Radiohead,23.39888333333333,1403933,1,2026
Neighborhood Drug Dealer,Teen Suicide,23.168833333333335,1390130,1,2026
The Sense of Me / Chemicals,Mud Flow,22.981616666666667,1378897,1,2026
