trackName,artistName,minutesPlayed,msPlayed,month,year
Atrophy,The Antlers,119.4047,7164282,4,2026
No One Is Ever Going to Want Me,Giles Corey,95.16760000000001,5710056,4,2026
BlindBlindBlind,Silver Mt. Zion,93.07786666666667,5584672,4,2026
Myth,Beach House,86.22364999999999,5173419,4,2026
Five Against Six,Mud Flow,84.36278333333334,5061767,4,2026
Armchairs,Andrew Bird,84.3228,5059368,4,2026
Man of War,Radiohead,83.92331666666666,5035399,4,2026
Gimme Shelter,The Rolling Stones,77.04776666666666,4622866,4,2026
Wake,The Antlers,76.15531666666666,4569319,4,2026
Blackest Bile,Giles Corey,74.7975,4487850,4,2026
Lazy Eyelids,Carissa's Wierd,73.51686666666667,4411012,4,2026
Degausser,Brand New,72.9642,4377852,4,2026
American Motor Over Smoldered Field,Silver Mt. Zion,71.04588333333334,4262753,4,2026
Chemicals,Mud Flow,70.20595,4212357,4,2026
Racehorse: Get Married!,Jordaan Mason,68.27154999999999,4096293,4,2026
Ryunosuke,Mud Flow,66.6858,4001148,4,2026
Seasick,Silversun Pickups,64.3332,3859992,4,2026
Ode To The Mets,The Strokes,62.42661666666667,3745597,4,2026
In the Backseat,Arcade Fire,60.86666666666667,3652000,4,2026
Villains of Circumstance,Queens of the Stone Age,59.882083333333334,3592925,4,2026
Shiva,The Antlers,59.44863333333333,3566918,4,2026
Farewell to All These Rotten Teeth,Carissa's Wierd,59.24105,3554463,4,2026
Like a Stone,Audioslave,58.99608333333334,3539765,4,2026
Chemtrails,Beck,57.94363333333334,3476618,4,2026
...Like Clockwork,Queens of the Stone Age,57.71776666666666,3463066,4,2026
Speed Trials,Elliott Smith,56.58331666666667,3394999,4,2026
Venus Doom,HIM,56.52033333333333,3391220,4,2026
Wolf Like Me ft. Shovels & Rope,Lera Lynn,56.29063333333333,3377438,4,2026
Last Night I Dreamt That Somebody Loved Me - 2011 Remaster,The Smiths,56.02666666666667,3361600,4,2026
PPP,Beach House,55.5152,3330912,4,2026
Black,Pearl Jam,55.32293333333333,3319376,4,2026
Change (In the House of Flies),Deftones,55.20818333333334,3312491,4,2026
Well I Wonder - 2011 Remaster,The Smiths,53.008516666666665,3180511,4,2026
Blue Bucket of Gold,Sufjan Stevens,52.33561666666667,3140137,4,2026
Fortress,Queens of the Stone Age,51.26331666666666,3075799,4,2026
Ready to Start,Arcade Fire,51.197433333333336,3071846,4,2026
Zelda,The Antlers,50.94061666666667,3056437,4,2026
On the Sea,Beach House,50.88401666666667,3053041,4,2026
(Nice Dream),Radiohead,50.78451666666667,3047071,4,2026
Street Spirit (Fade Out),Radiohead,50.78408333333334,3047045,4,2026
I'm Hibernating,The Antlers,50.546,3032760,4,2026
Pillars,Sunny Day Real Estate,50.4913,3029478,4,2026
Luca,Brand New,50.311099999999996,3018666,4,2026
That Joke Isn't Funny Anymore,The Smiths,49.597833333333334,2975870,4,2026
